"","total_visits","count","percentage","cumulative_pct","label","cum_label"
"1",1,2004,10.6971282160777,10.6971282160777,"10.7%","10.7%"
"2",2,1504,8.02818405038967,18.7253122664674,"8%","18.7%"
"3",3,1493,7.96946727874453,26.6947795452119,"8%","26.7%"
"4",4,1610,8.59400021351553,35.2887797587275,"8.6%","35.3%"
"5",5,1613,8.61001387850966,43.8987936372371,"8.6%","43.9%"
"6",6,1400,7.47304366392655,51.3718373011637,"7.5%","51.4%"
"7",7,1223,6.52823742927298,57.9000747304366,"6.5%","57.9%"
"8",8,1171,6.25066723604142,64.1507419664781,"6.3%","64.2%"
"9",9,1047,5.58876908295079,69.7395110494289,"5.6%","69.7%"
"10",10,979,5.22579267641721,74.9653037258461,"5.2%","75%"
"11",11,892,4.76139639158749,79.7267001174336,"4.8%","79.7%"
"12",12,875,4.67065228995409,84.3973524073876,"4.7%","84.4%"
"13",13,805,4.29700010675777,88.6943525141454,"4.3%","88.7%"
"14",14,770,4.1101740151596,92.804526529305,"4.1%","92.8%"
"15",15,628,3.3521938721042,96.1567204014092,"3.4%","96.2%"
"16",16,427,2.2792783174976,98.4359987189068,"2.3%","98.4%"
"17",17,230,1.2277143162165,99.6637130351233,"1.2%","99.7%"
"18",18,61,0.325611188213943,99.9893242233372,"0.3%","100%"
"19",19,2,0.0106757766627522,100,"0%","100%"
